Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Net total
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03:00,Cash,80.05,21.55037240297923,21.99000000000001,6.8,102.04
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00,Ewallet,147.76,37.05644302449414,86.99000000000001,7.1,234.75
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48:00,Ewallet,311.78,27.81199351701783,120.12,8.2,431.9
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21:00,Cash,471.78,33.905855982067806,242.01999999999998,5.7,713.8
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19:00,Cash,377.86,32.803385972400044,184.45999999999992,4.5,562.3199999999999
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00,Credit card,295.39,38.78054340842677,187.12000000000006,4.6,482.51000000000005
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00,Credit card,271.41,37.70141853739153,164.24999999999994,6.9,435.65999999999997
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00:00,Credit card,122.74,25.163099810987134,41.269999999999996,8.6,164.01
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30:00,Ewallet,50.18,37.74193548387096,30.419999999999995,4.4,80.6
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00,Ewallet,283.41,34.12133891213389,146.79000000000002,4.8,430.20000000000005
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40:00,Ewallet,209.81,20.508448889899217,54.129999999999995,5.1,263.94
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20:00,Credit card,52.41,21.069277108433745,13.990000000000009,4.4,66.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00,Ewallet,136.22,21.168981481481488,36.58000000000001,9.9,172.8
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36:00,Ewallet,210.04,21.004926849449017,55.849999999999994,6.0,265.89
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20:00,Credit card,285.59,32.11874881156114,135.13000000000005,8.5,420.72
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31:00,Cash,20.45,38.99164677804296,13.070000000000004,6.7,33.52
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17:00,Credit card,113.81,35.0918216037413,61.53,7.7,175.34
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48:00,Cash,273.15,38.17338162064283,168.65000000000003,9.6,441.8
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36:00,Cash,138.99,37.953662782911465,85.01999999999998,7.4,224.01
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39:00,Credit card,368.06,21.797514076277487,102.58999999999997,4.8,470.65
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43:00,Cash,538.84,23.310988713832298,163.78999999999985,4.5,702.6299999999999
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49:00,Cash,480.9,28.249582239197903,189.34000000000003,5.1,670.24
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12:00,Credit card,131.88,31.72499482294471,61.28,5.1,193.16
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42:00,Ewallet,239.63,39.74300945483806,158.05,7.5,397.68
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28:00,Ewallet,50.39,26.027598355842635,17.730000000000004,6.8,68.12
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15:00,Ewallet,249.87,20.194825934206314,63.22999999999996,7.0,313.09999999999997
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17:00,Ewallet,358.05,34.65286903197548,189.87000000000006,4.7,547.9200000000001
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24:00,Ewallet,281.81,35.85897669337218,157.55,7.6,439.36
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01:00,Cash,150.83,37.40454847277556,90.13,7.7,240.96
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45:00,Ewallet,54.96,36.62361623616236,31.759999999999998,7.9,86.72
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11:00,Cash,83.84,25.289609695241488,28.379999999999995,6.3,112.22
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03:00,Cash,281.96,32.011959876543216,132.76000000000005,5.6,414.72
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39:00,Cash,532.28,32.58865248226951,257.32000000000005,7.6,789.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47:00,Cash,23.98,21.990891346779435,6.759999999999998,7.2,30.74
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00:00,Cash,251.41,33.10717326521924,124.42999999999998,9.5,375.84
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24:00,Credit card,322.14,36.86129240900806,188.07,8.4,510.21
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47:00,Ewallet,135.47,24.77650063856961,44.620000000000005,4.1,180.09
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45:00,Credit card,74.1,34.75964078182779,39.480000000000004,8.1,113.58
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08:00,Ewallet,608.58,26.34878373472104,217.7199999999999,7.9,826.3
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00,Cash,451.1,29.49359174742107,188.70000000000005,9.5,639.8000000000001
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10:00,Cash,169.7,23.884278986319813,53.25000000000003,8.5,222.95000000000002
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42:00,Ewallet,55.78,21.964185786233912,15.700000000000003,6.5,71.48
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46:00,Credit card,10.66,30.913804277381722,4.77,6.1,15.43
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49:00,Ewallet,22.35,30.84777227722772,9.969999999999999,6.5,32.32
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01:00,Cash,500.72,27.20400093044894,187.12,8.2,687.84
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26:00,Cash,61.26,30.92016238159676,27.42000000000001,5.8,88.68
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00,Ewallet,512.59,28.48911830357142,204.20999999999992,6.6,716.8
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55:00,Cash,507.12,29.907394609536976,216.38,5.4,723.5
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36:00,Cash,130.15,29.135358815202,53.50999999999999,9.3,183.66
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47:00,Credit card,46.95,36.74211802748585,27.269999999999996,10.0,74.22
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55:00,Ewallet,246.84,26.179795442311143,87.53999999999999,7.0,334.38
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40:00,Ewallet,346.34,30.121259810745926,149.29000000000002,10.0,495.63
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27:00,Credit card,108.14,31.600253004427575,49.959999999999994,8.6,158.1
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35:00,Cash,210.11,30.647610245576967,92.84999999999997,7.6,302.96
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40:00,Cash,100.64,36.58475110270951,58.05999999999999,5.8,158.7
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43:00,Ewallet,42.6,36.36092022706901,24.339999999999996,6.7,66.94
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01:00,Ewallet,440.98,24.7037530307687,144.67999999999995,9.9,585.66
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04:00,Cash,600.36,23.783166180017766,187.33999999999992,6.4,787.6999999999999
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50:00,Cash,11.02,39.87997817785052,7.309999999999999,4.3,18.33
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00,Credit card,634.19,29.12494412159142,260.61,9.6,894.8000000000001
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19:00,Cash,458.69,26.16065679330328,162.50999999999993,5.9,621.1999999999999
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17:00,Ewallet,114.72,21.18713932399011,30.840000000000003,4.0,145.56
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21:00,Cash,278.93,38.75861766126553,176.52999999999997,8.7,455.46
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00,Ewallet,528.53,21.35321339821139,143.5,9.4,672.03
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04:00,Credit card,302.03,27.48379351740697,114.47000000000003,5.4,416.5
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20:00,Credit card,310.48,29.65379735363422,130.88,8.6,441.36
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48:00,Credit card,121.54,32.51152201676939,58.55,5.7,180.09
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24:00,Ewallet,562.44,28.177755075980077,220.65999999999997,6.6,783.1
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56:00,Cash,65.08,36.13346418056918,36.81999999999999,6.0,101.89999999999999
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42:00,Credit card,438.21,26.36858554289747,156.93,5.5,595.14
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56:00,Ewallet,178.26,38.53951179147705,111.78000000000003,6.4,290.04
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37:00,Ewallet,115.66,24.8961038961039,38.34,6.6,154.0
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45:00,Credit card,216.24,32.72772523643604,105.19999999999999,8.3,321.44
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17:00,Cash,148.21,39.39480678797791,96.33999999999997,6.6,244.54999999999998
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31:00,Ewallet,456.5,21.485329022049473,124.92000000000007,4.0,581.4200000000001
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00,Cash,299.81,21.638787245164657,82.78999999999996,9.9,382.59999999999997
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35:00,Credit card,268.68,22.270439159868083,76.98000000000002,7.3,345.66
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57:00,Cash,27.52,35.201318577819634,14.95,5.7,42.47
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55:00,Cash,363.72,21.26250162358746,98.21999999999991,6.1,461.93999999999994
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25:00,Cash,115.32,39.151540734487135,74.20000000000002,7.1,189.52
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,281.61,37.2246990637539,166.99,8.2,448.6
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42:00,Ewallet,95.64,37.83959443650072,58.22000000000001,5.1,153.86
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00,Credit card,400.4,30.874939575996134,178.84000000000003,8.6,579.24
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05:00,Credit card,55.94,37.67130919220056,33.81,6.6,89.75
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38:00,Ewallet,76.86,20.89337175792507,20.299999999999997,7.2,97.16
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00,Ewallet,567.11,35.46033913736201,311.59000000000003,5.1,878.7
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11:00,Cash,51.27,31.365461847389543,23.429999999999986,4.1,74.69999999999999
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16:00,Ewallet,98.18,37.95892575039494,60.06999999999999,9.3,158.25
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14:00,Cash,389.23,21.557839580814193,106.97000000000003,7.4,496.20000000000005
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20:00,Cash,35.74,26.62697598029152,12.969999999999999,4.1,48.71
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22:00,Cash,430.89,39.049437725440264,276.05999999999995,7.2,706.9499999999999
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27:00,Cash,165.3,20.38722727929489,42.329999999999984,4.9,207.63
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44:00,Cash,220.03,37.05515505206545,129.53,9.9,349.56
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19:00,Cash,141.03,33.617321722758305,71.42000000000002,8.0,212.45000000000002
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50:00,Ewallet,688.91,22.30630427427541,197.79000000000008,7.3,886.7
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54:00,Credit card,119.38,27.33138543949355,44.900000000000006,7.9,164.28
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19:00,Cash,235.83,36.737485916626426,136.95000000000002,7.4,372.78000000000003
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43:00,Cash,187.45,38.705774638676345,118.37,4.2,305.82
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30:00,Cash,508.88,37.918750762474076,310.82000000000005,9.2,819.7
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32:00,Ewallet,25.43,22.89266221952698,7.549999999999997,4.6,32.98
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41:00,Credit card,190.39,35.37996809557751,104.24000000000001,7.8,294.63
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44:00,Cash,394.72,22.585706440731144,115.15999999999997,8.4,509.88
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07:00,Ewallet,414.09,20.76803857413467,108.54000000000002,4.3,522.63
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31:00,Credit card,440.73,39.3860626315138,286.38,9.5,727.11
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01:00,Credit card,49.9,38.4406612385887,31.160000000000004,7.1,81.06
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29:00,Ewallet,77.61,29.252506836827713,32.09,5.3,109.7
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26:00,Ewallet,38.16,25.70093457943926,13.200000000000003,5.2,51.36
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48:00,Ewallet,74.11,32.38138686131388,35.49000000000001,6.0,109.60000000000001
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38:00,Ewallet,68.55,35.8626497005988,38.33,4.1,106.88
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03:00,Credit card,598.0,24.919646444355166,198.48000000000002,5.2,796.48
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02:00,Credit card,248.06,37.96018407362945,151.77999999999997,6.5,399.84
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26:00,Credit card,563.72,37.339380196523045,335.91999999999996,4.2,899.64
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52:00,Credit card,376.99,26.26545141605382,134.28999999999996,4.6,511.28
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57:00,Ewallet,319.31,29.3186647777581,132.45,7.3,451.76
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44:00,Credit card,494.36,24.620709635118846,161.4699999999999,4.5,655.8299999999999
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26:00,Cash,126.8,21.364341085271317,34.45,9.0,161.25
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17:00,Credit card,199.59,30.108204643344887,85.97999999999999,5.9,285.57
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57:00,Ewallet,390.76,28.735045229063328,157.56000000000006,8.5,548.32
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00,Ewallet,526.73,35.1732880421405,285.78999999999996,7.2,812.52
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18:00,Cash,190.02,31.48482007644046,87.31999999999996,7.5,277.34
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34:00,Cash,342.27,38.082057961576034,210.51,8.3,552.78
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36:00,Cash,88.32,36.62456946039037,51.04000000000002,7.4,139.36
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40:00,Credit card,322.9,38.46007242233658,201.80000000000007,8.8,524.7
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43:00,Ewallet,331.07,32.12997129971299,156.72999999999996,5.3,487.79999999999995
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,19:39:00,Cash,171.96,36.46641542895144,98.69999999999996,6.2,270.65999999999997
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59:00,Credit card,82.85,37.02014443177499,48.69999999999999,8.8,131.54999999999998
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,15:39:00,Cash,164.54,20.327329072244826,41.98000000000002,9.8,206.52
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21:00,Cash,344.97,33.54459641687534,174.12999999999988,8.2,519.0999999999999
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25:00,Ewallet,358.36,38.213793103448275,221.64,9.2,580.0
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00:00,Credit card,540.31,39.831848552338535,357.69000000000005,5.4,898.0
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48:00,Cash,680.07,24.854143646408836,224.92999999999995,8.1,905.0
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57:00,Cash,542.5,20.918367346938776,143.5,9.1,686.0
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,10:36:00,Credit card,19.91,34.528115751397564,10.5,8.4,30.41
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37:00,Ewallet,372.39,20.378447722899303,95.31000000000006,8.0,467.70000000000005
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,17:11:00,Credit card,218.29,21.353941490128264,59.27000000000001,9.5,277.56
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28:00,Ewallet,226.24,24.936960849369598,75.15999999999997,9.2,301.4
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,12:46:00,Credit card,176.86,33.14938010281221,87.69999999999999,5.6,264.56
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07:00,Credit card,399.96,30.427219593654332,174.92000000000002,6.2,574.88
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,13:48:00,Credit card,186.75,28.08456561922366,72.93,4.9,259.68
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,19:20:00,Credit card,244.38,33.25868472798777,121.78000000000003,4.8,366.16
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,16:07:00,Credit card,147.62,38.979828042328045,94.30000000000001,7.3,241.92000000000002
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56:00,Credit card,568.42,24.125687436595655,180.74,7.4,749.16
